# seq_format_version: 1
# Collects principal plane from -85deg to +85deg at 5 degree steps.
SensorZen	SensorAz	TargetRotation	SensorPolarizerAngle	LampPolarizerAngle
-85	0	0	0	0
-80	0	0	0	0
-75	0	0	0	0
-70	0	0	0	0
-65	0	0	0	0
-60	0	0	0	0
-55	0	0	0	0
-50	0	0	0	0
-45	0	0	0	0
-40	0	0	0	0
-35	0	0	0	0
-30	0	0	0	0
-25	0	0	0	0
-20	0	0	0	0
-15	0	0	0	0
-10	0	0	0	0
-5	0	0	0	0
0	0	0	0	0
5	0	0	0	0
10	0	0	0	0
15	0	0	0	0
20	0	0	0	0
25	0	0	0	0
30	0	0	0	0
35	0	0	0	0
40	0	0	0	0
45	0	0	0	0
50	0	0	0	0
55	0	0	0	0
60	0	0	0	0
65	0	0	0	0
70	0	0	0	0
75	0	0	0	0
80	0	0	0	0
85	0	0	0	0
